"category_name","product_name","unit_price","average_unit_price","median_unit_price","average_unit_price_position","average_unit_price_position"
Beverages,Chartreuse verte,18.00,46.03,18.00,Below Average,median
Beverages,Côte de Blaye,263.50,46.03,18.00,Over Average,Over median
Beverages,Ipoh Coffee,46.00,46.03,18.00,Below Average,Over median
Beverages,Lakkalikööri,18.00,46.03,18.00,Below Average,median
Beverages,Laughing Lumberjack Lager,14.00,46.03,18.00,Below Average,Below median
Beverages,Outback Lager,15.00,46.03,18.00,Below Average,Below median
Beverages,Rhönbräu Klosterbier,7.75,46.03,18.00,Below Average,Below median
Beverages,Sasquatch Ale,14.00,46.03,18.00,Below Average,Below median
Beverages,Steeleye Stout,18.00,46.03,18.00,Below Average,median
Condiments,Aniseed Syrup,10.00,22.99,21.05,Below Average,Below median
Condiments,Chef Anton's Cajun Seasoning,22.00,22.99,21.05,Below Average,Over median
Condiments,Genen Shouyu,13.00,22.99,21.05,Below Average,Below median
Condiments,Grandma's Boysenberry Spread,25.00,22.99,21.05,Over Average,Over median
Condiments,Gula Malacca,19.45,22.99,21.05,Below Average,Below median
Condiments,Louisiana Fiery Hot Pepper Sauce,21.05,22.99,21.05,Below Average,median
Condiments,Louisiana Hot Spiced Okra,17.00,22.99,21.05,Below Average,Below median
Condiments,Northwoods Cranberry Sauce,40.00,22.99,21.05,Over Average,Over median
Condiments,Original Frankfurter grüne Soße,13.00,22.99,21.05,Below Average,Below median
Condiments,Sirop d'érable,28.50,22.99,21.05,Over Average,Over median
Condiments,Vegie-spread,43.90,22.99,21.05,Over Average,Over median
Confections,Chocolade,12.75,25.16,16.25,Below Average,Below median
Confections,Gumbär Gummibärchen,31.23,25.16,16.25,Over Average,Over median
Confections,Maxilaku,20.00,25.16,16.25,Below Average,Over median
Confections,NuNuCa Nuß-Nougat-Creme,14.00,25.16,16.25,Below Average,Below median
Confections,Pavlova,17.45,25.16,16.25,Below Average,Over median
Confections,Schoggi Schokolade,43.90,25.16,16.25,Over Average,Over median
Confections,Scottish Longbreads,12.50,25.16,16.25,Below Average,Below median
Confections,Sir Rodney's Marmalade,81.00,25.16,16.25,Over Average,Over median
Confections,Sir Rodney's Scones,10.00,25.16,16.25,Below Average,Below median
Confections,Tarte au sucre,49.30,25.16,16.25,Over Average,Over median
Confections,Teatime Chocolate Biscuits,9.20,25.16,16.25,Below Average,Below median
Confections,Valkoinen suklaa,16.25,25.16,16.25,Below Average,median
Confections,Zaanse koeken,9.50,25.16,16.25,Below Average,Below median
Dairy Products,Camembert Pierrot,34.00,28.73,33.00,Over Average,Over median
Dairy Products,Flotemysost,21.50,28.73,33.00,Below Average,Below median
Dairy Products,Geitost,2.50,28.73,33.00,Below Average,Below median
Dairy Products,Gorgonzola Telino,12.50,28.73,33.00,Below Average,Below median
Dairy Products,Gudbrandsdalsost,36.00,28.73,33.00,Over Average,Over median
Dairy Products,Mascarpone Fabioli,32.00,28.73,33.00,Over Average,Below median
Dairy Products,Mozzarella di Giovanni,34.80,28.73,33.00,Over Average,Over median
Dairy Products,Queso Cabrales,21.00,28.73,33.00,Below Average,Below median
Dairy Products,Queso Manchego La Pastora,38.00,28.73,33.00,Over Average,Over median
Dairy Products,Raclette Courdavault,55.00,28.73,33.00,Over Average,Over median
Grains/Cereals,Filo Mix,7.00,21.29,20.25,Below Average,Below median
Grains/Cereals,Gnocchi di nonna Alice,38.00,21.29,20.25,Over Average,Over median
Grains/Cereals,Gustaf's Knäckebröd,21.00,21.29,20.25,Below Average,Over median
Grains/Cereals,Ravioli Angelo,19.50,21.29,20.25,Below Average,Below median
Grains/Cereals,Tunnbröd,9.00,21.29,20.25,Below Average,Below median
Grains/Cereals,Wimmers gute Semmelknödel,33.25,21.29,20.25,Over Average,Over median
Meat/Poultry,Pâté chinois,24.00,15.72,15.72,Over Average,Over median
Meat/Poultry,Tourtière,7.45,15.72,15.72,Below Average,Below median
Produce,Longlife Tofu,10.00,29.06,26.63,Below Average,Below median
Produce,Manjimup Dried Apples,53.00,29.06,26.63,Over Average,Over median
Produce,Tofu,23.25,29.06,26.63,Below Average,Below median
Produce,Uncle Bob's Organic Dried Pears,30.00,29.06,26.63,Over Average,Over median
Seafood,Boston Crab Meat,18.40,20.68,16.70,Below Average,Over median
Seafood,Carnarvon Tigers,62.50,20.68,16.70,Over Average,Over median
Seafood,Escargots de Bourgogne,13.25,20.68,16.70,Below Average,Below median
Seafood,Gravad lax,26.00,20.68,16.70,Over Average,Over median
Seafood,Ikura,31.00,20.68,16.70,Over Average,Over median
Seafood,Inlagd Sill,19.00,20.68,16.70,Below Average,Over median
Seafood,Jack's New England Clam Chowder,9.65,20.68,16.70,Below Average,Below median
Seafood,Konbu,6.00,20.68,16.70,Below Average,Below median
Seafood,Nord-Ost Matjeshering,25.89,20.68,16.70,Over Average,Over median
Seafood,Röd Kaviar,15.00,20.68,16.70,Below Average,Below median
Seafood,Rogede sild,9.50,20.68,16.70,Below Average,Below median
Seafood,Spegesild,12.00,20.68,16.70,Below Average,Below median
